mlprof -show-line true -raw true main mlmon.out
23.58 seconds of CPU time (6.48 seconds GC)
                                            function                                               cur    raw  
------------------------------------------------------------------------------------------------- ----- -------
<gc>                                                                                              21.6% (6.48s)
PosixError.SysCall.simpleResultAux  $(SML_LIB)/basis/posix/error.sml: 291                         15.4% (4.63s)
IdxVisitorFn.default_idx_visitor_vtable.visit_idx  idx-visitor.sml: 283                            5.3% (1.58s)
TypeVisitorFn.default_type_visitor_vtable.visit_mtype  type-visitor.sml: 214                       3.9% (1.16s)
Bind.visit_bind  bind.sml: 37                                                                      3.7% (1.11s)
VisitorUtil.visit_pair  visitor-util.sml: 7                                                        3.7% (1.11s)
TypeVisitorFn.default_type_visitor_vtable.visit_binds  type-visitor.sml: 286                       2.2% (0.66s)
IdxVisitorFn.default_idx_visitor_vtable.visit_BinOpI  idx-visitor.sml: 313                         2.0% (0.60s)
IdxVisitorFn.default_idx_visitor_vtable.visit_BinPred  idx-visitor.sml: 385                        1.8% (0.55s)
TypeVisitorFn.default_type_visitor_vtable.visit_MtAppI  type-visitor.sml: 340                      1.8% (0.53s)
LongIdUtil.on_v_long_id  long-id.sml: 4                                                            1.7% (0.51s)
IdxVisitorFn.default_idx_visitor_vtable.visit_BinConn  idx-visitor.sml: 368                        1.5% (0.45s)
IdxVisitorFn.new_idx_visitor  idx-visitor.sml: 235                                                 1.4% (0.43s)
List.foldl.loop  $(SML_LIB)/basis/list/list.sml: 40                                                1.4% (0.43s)
IdxVisitorFn.default_idx_visitor_vtable.visit_VarI  idx-visitor.sml: 296                           1.3% (0.38s)
Util.mapSnd  util.sml: 86                                                                          1.3% (0.38s)
IdxVisitorFn.default_idx_visitor_vtable.visit_sort  idx-visitor.sml: 404                           1.2% (0.35s)
Normalize.normalize_i  normalize.sml: 241                                                          1.1% (0.34s)
TypecheckUtil.shiftx_i_ke  typecheck-util.sml: 68                                                  1.0% (0.30s)
IdxVisitorFn.default_idx_visitor_vtable.visit_prop  idx-visitor.sml: 355                           0.9% (0.27s)
Normalize.normalize_ibind  normalize.sml: 336                                                      0.8% (0.25s)
TypeVisitorFn.default_type_visitor_vtable.visit_Prod  type-visitor.sml: 265                        0.8% (0.24s)
TypeVisitorFn.default_type_visitor_vtable.visit_datatype.visit_constr_decl  type-visitor.sml: 392  0.8% (0.24s)
Normalize.normalize_mt  normalize.sml: 360                                                         0.8% (0.23s)
TypeVisitorFn.default_type_visitor_vtable.visit_MtApp  type-visitor.sml: 322                       0.7% (0.22s)
ExprFn.Simp.passi  expr.sml: 1843                                                                  0.7% (0.21s)
ExprFn.Simp.passp.collect_Imply_Forall.loop  expr.sml: 2116                                        0.6% (0.18s)
TypeVisitorFn.default_type_visitor_vtable  type-visitor.sml: 202                                   0.6% (0.17s)
BinaryMapFn.insert  $(SML_LIB)/smlnj-lib/Util/binary-map-fn.sml: 158                               0.5% (0.16s)
TypecheckUtil.shiftx_i_kctx  typecheck-util.sml: 74                                                0.5% (0.16s)
ExprFn.collect_MtApp  expr.sml: 351                                                                0.5% (0.16s)
IdxVisitorFn.default_idx_visitor_vtable.visit_bsort  idx-visitor.sml: 256                          0.5% (0.14s)
Util.$  util.sml: 4                                                                                0.4% (0.12s)
IdxVisitorFn.default_idx_visitor_vtable.visit_Subset  idx-visitor.sml: 423                         0.4% (0.11s)
IdxVisitorFn.default_idx_visitor_vtable.visit_Basic  idx-visitor.sml: 415                          0.4% (0.11s)
Util.sprintf  util.sml: 29                                                                         0.4% (0.11s)
TypeVisitorFn.default_type_visitor_vtable.visit_MtVar  type-visitor.sml: 306                       0.3% (0.10s)
TypeVisitorFn.default_type_visitor_vtable.visit_MtAbs  type-visitor.sml: 313                       0.3% (0.10s)
Sequence.append  $(SML_LIB)/basis/arrays-and-vectors/sequence.fun: 687                             0.3% (0.10s)
TypeVisitorFn.default_type_visitor_vtable.visit_ibind  type-visitor.sml: 274                       0.3% (0.09s)
IdxVisitorFn.default_idx_visitor_vtable.visit_Base  idx-visitor.sml: 265                           0.3% (0.09s)
IdxVisitorFn.default_idx_visitor_vtable.visit_UnOpI  idx-visitor.sml: 305                          0.3% (0.09s)
IdxVisitorFn.default_idx_visitor_vtable.visit_IConst  idx-visitor.sml: 303                         0.3% (0.09s)
TypeVisitorFn.default_type_visitor_vtable.visit_constr_core  type-visitor.sml: 380                 0.3% (0.08s)
TypecheckUtil.shiftx_t_ke  typecheck-util.sml: 70                                                  0.3% (0.08s)
ExprFn.collect_MtAppI  expr.sml: 341                                                               0.3% (0.08s)
Util.nth_error  util.sml: 80                                                                       0.3% (0.08s)
IdxVisitorFn.default_idx_visitor_vtable.visit_Ite  idx-visitor.sml: 322                            0.3% (0.08s)
ExprFn.Subst.substx_long_id  expr.sml: 1449                                                        0.3% (0.08s)
ExprFn.Simp.passp.foldr_hyps  expr.sml: 2154                                                       0.3% (0.08s)
TypecheckUtil.names  typecheck-util.sml: 66                                                        0.3% (0.08s)
TypecheckUtil.ctx_names  typecheck-util.sml: 192                                                   0.3% (0.08s)
IntVar.substx_v  exprs.sml: 77                                                                     0.2% (0.07s)
IdxVisitorFn.default_idx_visitor_vtable.visit_IAbs  idx-visitor.sml: 338                           0.2% (0.07s)
Normalize.normalize_tbind  normalize.sml: 339                                                      0.2% (0.07s)
ExprFn.eq_i.loop  expr.sml: 447                                                                    0.2% (0.07s)
ExprFn.Simp.passp.collect_Imply_Forall  expr.sml: 2114                                             0.2% (0.07s)
VisitorUtil.visit_list  visitor-util.sml: 9                                                        0.2% (0.07s)
Sequence.concat  $(SML_LIB)/basis/arrays-and-vectors/sequence.fun: 688                             0.2% (0.07s)
Parser.parse  parser/parser.sml: 19                                                                0.2% (0.07s)
BinaryMapFn.foldli.fold  $(SML_LIB)/smlnj-lib/Util/binary-map-fn.sml: 293                          0.2% (0.07s)
Normalize.whnf_mt  normalize.sml: 308                                                              0.2% (0.07s)
Sequence.Slice.collate.loop  $(SML_LIB)/basis/arrays-and-vectors/sequence.fun: 406                 0.2% (0.06s)
Util.fst  util.sml: 83                                                                             0.2% (0.06s)
ExprFn.Subst.hyps2ctx.fn  expr.sml: 1769                                                           0.2% (0.06s)
Package.package_long_id  package.sml: 11                                                           0.2% (0.06s)
Sequence.Slice.concat  $(SML_LIB)/basis/arrays-and-vectors/sequence.fun: 441                       0.2% (0.05s)
Util.curry  util.sml: 88                                                                           0.2% (0.05s)
ImperativeIOExtra.openIn  $(SML_LIB)/basis/io/imperative-io.fun: 744                               0.2% (0.05s)
ExprFn.Simp.passp  expr.sml: 2036                                                                  0.2% (0.05s)
ExprFn.append_hyps_vc.fn  expr.sml: 1367                                                           0.2% (0.05s)
IdxVisitorFn.default_idx_visitor_vtable.visit_idx.fn  idx-visitor.sml: 288                         0.2% (0.05s)
ExprFn.Simp.passi.def  expr.sml: 1851                                                              0.2% (0.05s)
Util.interleave  util.sml: 6                                                                       0.2% (0.05s)
IdxVisitorFn.default_idx_visitor_vtable.visit_BinOpI.fn  idx-visitor.sml: 317                      0.1% (0.04s)
IdxShiftFn.on_i_idx_visitor_vtable  idx.sml: 77                                                    0.1% (0.04s)
BinaryMapFn.T'  $(SML_LIB)/smlnj-lib/Util/binary-map-fn.sml: 102                                   0.1% (0.04s)
TypeVisitorFn.default_type_visitor_vtable.visit_TyNat  type-visitor.sml: 244                       0.1% (0.04s)
Sequence.make2  $(SML_LIB)/basis/arrays-and-vectors/sequence.fun: 673                              0.1% (0.04s)
ExprFn.get_region_i  expr.sml: 1198                                                                0.1% (0.04s)
